epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3333,0.78498,2.31232,1.51809,1.26839,0.63771,0.49618,0.50935,0.24204,0.50066,0.45865,0.39208,0.15129,1.83014,9.05449,2.29306,2.40489,0.000364056,0.000364056,0.000364056
2,21.649,0.85336,1.78926,1.02776,1.30415,0.30547,0.24921,0.16873,0.06414,0.30411,0.2146,0.13331,0.04611,2.67466,13.8606,5.0822,3.28396,0.000731966,0.000731966,0.000731966
3,31.896,0.93409,1.87244,1.05061,1.35978,0.39878,0.38459,0.29304,0.08506,0.28903,0.33716,0.22632,0.05494,2.44968,5.36409,6.43139,3.18473,0.00109743,0.00109743,0.00109743
4,42.0643,0.90671,1.88016,1.03451,1.37126,0.45478,0.54914,0.46116,0.24179,0.37191,0.46501,0.33231,0.10221,1.65647,4.54997,3.4092,2.33382,0.0011,0.0011,0.0011
5,52.1644,0.84751,1.72284,0.95688,1.32087,0.61548,0.59636,0.58895,0.42907,0.57751,0.5968,0.55578,0.26887,1.23073,3.61663,2.12007,1.88998,0.00109633,0.00109633,0.00109633
6,62.416,0.79884,1.70207,0.87872,1.29471,0.60914,0.6362,0.55354,0.33419,0.61332,0.64995,0.57051,0.25573,1.44749,3.32909,2.83344,1.86667,0.00109267,0.00109267,0.00109267
7,72.7194,0.80022,1.72719,0.87317,1.28669,0.6909,0.65691,0.62087,0.47469,0.70569,0.66454,0.63282,0.3637,1.01738,3.26212,1.55643,1.43846,0.001089,0.001089,0.001089
8,83.2524,0.78198,1.57626,0.82777,1.27671,0.72341,0.6547,0.6653,0.48188,0.77493,0.69599,0.70998,0.43254,1.09669,2.41417,1.36769,1.46948,0.00108534,0.00108534,0.00108534
9,93.6549,0.76389,1.54161,0.80424,1.25976,0.68765,0.65116,0.64927,0.48362,0.69594,0.64731,0.65322,0.38359,1.08307,2.92033,1.23669,1.46895,0.00108167,0.00108167,0.00108167
10,103.945,0.76886,1.58521,0.82392,1.25974,0.75685,0.69662,0.68087,0.50737,0.77156,0.70621,0.68883,0.43538,1.05105,2.34895,1.15573,1.42361,0.001078,0.001078,0.001078
